,C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,B,Hom_Temp(K),CR(%),Anneal_Temp(K),Anneal_Time(h),YS(Mpa),UTS(Mpa),El(%),Density,Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,constraint_1,constraint_2,References
10,0.0,0.0,10.0,10.0,0.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,427.0,745.0,70.1,7.916755402542370,-0.12320825004711000,-0.04624079813071990,-0.18919002349320100,0.023254649456802300,3.9527622207752400,0.00982456529855329,1.1600000000000000,1.043220345730830,-0.00987107273656875,-18.253441466348400,0.051236221588515300,0.11947500000000000,7.85,4.67,4.403500000000000,79.751,0.1991998971780460,7.12125,-0.019396754879640700,56.05062825,3.311207730153770,1.3775,0.030735264575884400,60.95,3.83783892751999,9.87E-08,4.99038770694711E-08,83.5,24.321322282253700,1870.05,193.85501586384700,171.5,8.974093332757250,1.119E-05,3.0389079999337E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41598-019-39570-y
11,0.0,0.0,10.0,10.0,0.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,1373,75.0,1273,0.333333333333333,359.0,732.0,55.8,7.919536249293390,-0.171865218347087,-0.08950488506813400,-0.22972223180835000,0.023120686288720800,4.218159913867410,0.009824678672150170,1.1875,1.0432142406961000,-0.01106447021115620,-20.698038087098900,0.05220773985298390,0.12422500000000000,7.9,4.9,4.406000000000000,79.68250000000000,0.19958649022896700,7.172625000000000,-0.01948951720128900,56.0386385,3.222886250707640,1.3775,0.030054694667103800,61.1,4.005470711469250,9.93E-08,4.82028863054401E-08,83.05,23.44266184034110,1868.05,191.41786559794500,171.5,8.775380292048490,1.121E-05,2.99120364904715E-06,324.333333333333,108.11111111111100,https://www.sciencedirect.com/science/article/pii/S0921509319315941
12,0.0,0.0,10.0,10.0,2.5,45.0,30.0,2.5,0.0,0.0,0.0,0.0,1373,75.0,1273,0.25,345.0,769.0,57.2,7.88509578928823,-0.15732130603182700,-0.07783382545724630,-0.21963029527232600,0.024075435472556300,4.480493327653540,0.00805431761986716,1.2837500000000000,1.0431959386376700,-0.011352611494115000,-19.586077704910400,0.053363105222094900,0.1284312500000000,7.825000000000000,4.72,4.368,79.71925,0.19938094135810000,7.14748125,-0.019456250037263200,55.944754625,3.184746573029810,1.37875,0.02983714143659650,60.925,3.840039275755430,1.335E-07,2.57040037847154E-07,80.97,27.317337716013100,1862.825,200.6444784675780,170.0,12.945169503681800,1.14175E-05,3.5640266517661E-06,243.25,60.8125,https://www.sciencedirect.com/science/article/pii/S0921509319315941
13,0.0,0.0,10.0,10.0,5.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,1373,75.0,1273,0.166666666666667,374.0,802.0,66.5,7.850839295754850,-0.1290722051769470,-0.05186143144810230,-0.1942486920248970,0.024933338213902100,4.567413303165280,0.006282544776458580,1.3725,1.0431776561223000,-0.011064470211156200,-17.79794119716830,0.0542369050503289,0.13170000000000000,7.75,4.5,4.33,79.756,0.1991744512580210,7.1205,-0.019419514277617400,55.850870750000000,3.1479370504245000,1.38,0.0295958174200193,60.75,3.662295558679570,1.677E-07,3.55867624859803E-07,78.89,30.5451657923913,1857.6,209.62545674795400,168.5,15.880484281718200,1.1625E-05,4.04696425830884E-06,162.16666666666700,27.027777777777900,https://www.sciencedirect.com/science/article/pii/S0921509319315941
14,0.0,0.0,10.0,10.0,0.0,45.0,20.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,1173,1.0,294.0,625.0,36.0,7.925107385398980,-0.21803352421393800,-0.12794245455451500,-0.26684148375217400,0.022830533722945300,4.123955719792060,0.009825834948867710,1.2275000000000000,1.0432020371507400,-0.011858267030436700,-22.75040315201050,0.05402938249206560,0.13222500000000000,8.0,5.36,4.4110000000000000,79.54550000000000,0.2003498732767940,7.254825,-0.019630094081037800,56.014659000000000,3.124781888964410,1.3775,0.0294174202707275,61.4,4.351673578873180,1.005E-07,4.59590879178184E-08,82.15,22.22666136702670,1864.05,190.85141403134100,171.5,8.589308690239500,1.125E-05,2.96518257318292E-06,873.0,873.0,https://www.sciencedirect.com/science/article/pii/S0925838819331032
15,0.0,0.0,10.0,10.0,0.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,1473,50.0,1123,1.0,397.0,731.0,40.0,7.919536249293390,-0.171865218347087,-0.08950488506813400,-0.22972223180835000,0.023120686288720800,4.218159913867410,0.009824678672150170,1.1875,1.0432142406961000,-0.01106447021115620,-20.698038087098900,0.05220773985298390,0.12422500000000000,7.9,4.9,4.406000000000000,79.68250000000000,0.19958649022896700,7.172625000000000,-0.01948951720128900,56.0386385,3.222886250707640,1.3775,0.030054694667103800,61.1,4.005470711469250,9.93E-08,4.82028863054401E-08,83.05,23.44266184034110,1868.05,191.41786559794500,171.5,8.775380292048490,1.121E-05,2.99120364904715E-06,823.0,823.0,https://www.sciencedirect.com/science/article/pii/S0925838820324543
16,0.0,0.0,10.0,10.0,0.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,1474,75.0,1173,0.166666666666667,470.0,787.0,44.0,7.967814281662180,-0.20521790816679100,-0.1176441940708390,-0.24831755303351300,0.022979354709484100,4.1318574911690300,0.00982510188892165,1.2100000000000000,1.0432081378364700,-0.011793273165416200,-22.33359828535860,0.053753639265236100,0.13060000000000000,8.000000000000000,5.320000000000000,4.414,79.35900000000000,0.20071658565721300,7.229900000000000,-0.019640744833257900,56.181058500000000,3.215699723834360,1.375,0.029462782549439400,61.4,4.189935029992180,9.79E-08,4.75349286782303E-08,83.6,22.938323100581400,1863.9,189.66230955745200,172.0,8.819171036881970,1.129E-05,2.96856212855839E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S1359646219303689
17,0.0,0.0,10.0,10.0,0.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,1474,75.0,1173,0.166666666666667,451.0,790.0,49.4,7.919536249293390,-0.171865218347087,-0.08950488506813400,-0.22972223180835000,0.023120686288720800,4.218159913867410,0.009824678672150170,1.1875,1.0432142406961000,-0.01106447021115620,-20.698038087098900,0.05220773985298390,0.12422500000000000,7.9,4.9,4.406000000000000,79.68250000000000,0.19958649022896700,7.172625000000000,-0.01948951720128900,56.0386385,3.222886250707640,1.3775,0.030054694667103800,61.1,4.005470711469250,9.93E-08,4.82028863054401E-08,83.05,23.44266184034110,1868.05,191.41786559794500,171.5,8.775380292048490,1.121E-05,2.99120364904715E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S1359646219303689
18,0.0,0.0,10.0,10.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,1474,75.0,1173,0.166666666666667,409.0,1026.0,29.3,7.87159815518941,-0.12227633133007000,-0.04487140241125950,-0.1939446700266990,0.023254649456802300,4.0956906226071500,0.00982456529855329,1.16,1.043220345730830,-0.00971310029076794,-17.96132115990600,0.050445123972780300,0.11650000000000000,7.800000000000000,4.44,4.398000000000000,80.006,0.19838264050268200,7.083000000000000,-0.019310776639681800,55.8962185,3.246222689205790,1.38,0.030618621784789600,60.8,3.783186487605390,1.007E-07,4.92507931408216E-08,82.5,24.156068078228300,1872.2,194.7103618198070,171.0,8.75,1.113E-05,3.03626518110655E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S1359646219303689
19,0.0,0.0,0.0,0.0,30.0,0.0,10.0,40.0,20.0,0.0,0.0,0.0,1373,75.0,873,0.166666666666667,457.0,772.0,35.2,8.45040303030303,-0.02916624494628860,0.032281710713484800,-0.0944522144761745,0.0221628374284807,9.86897212407117,0.0028228965421644300,1.35,1.0335036730782300,-0.010640708033581100,-21.663060138444000,0.07603203533950350,0.1865,9.2,1.7200000000000000,3.789,69.64400000000000,0.17623993593093900,5.137,-0.01541652767014180,58.561293000000000,3.5714444075913700,1.365,0.02738612787525820,65.6,5.1602879210923300,4.7024E-07,7.5917917177511E-07,128.74,167.9994234683990,1595.254,181.48927581068200,154.0,32.160312720583300,1.647E-05,4.33920664243065E-06,95.50000000000020,15.91666666666670,https://www.sciencedirect.com/science/article/pii/S0925838819333572
20,0.0,0.0,0.0,0.0,30.0,0.0,10.0,40.0,20.0,0.0,0.0,0.0,1373,75.0,973,0.166666666666667,402.0,735.0,45.5,8.45040303030303,-0.02916624494628860,0.032281710713484800,-0.0944522144761745,0.0221628374284807,9.86897212407117,0.0028228965421644300,1.35,1.0335036730782300,-0.010640708033581100,-21.663060138444000,0.07603203533950350,0.1865,9.2,1.7200000000000000,3.789,69.64400000000000,0.17623993593093900,5.137,-0.01541652767014180,58.561293000000000,3.5714444075913700,1.365,0.02738612787525820,65.6,5.1602879210923300,4.7024E-07,7.5917917177511E-07,128.74,167.9994234683990,1595.254,181.48927581068200,154.0,32.160312720583300,1.647E-05,4.33920664243065E-06,112.16666666666700,18.694444444444500,https://www.sciencedirect.com/science/article/pii/S0925838819333572
21,0.0,0.0,0.0,0.0,30.0,0.0,10.0,40.0,20.0,0.0,0.0,0.0,1373,75.0,1023,0.166666666666667,339.0,713.0,50.5,8.45040303030303,-0.02916624494628860,0.032281710713484800,-0.0944522144761745,0.0221628374284807,9.86897212407117,0.0028228965421644300,1.35,1.0335036730782300,-0.010640708033581100,-21.663060138444000,0.07603203533950350,0.1865,9.2,1.7200000000000000,3.789,69.64400000000000,0.17623993593093900,5.137,-0.01541652767014180,58.561293000000000,3.5714444075913700,1.365,0.02738612787525820,65.6,5.1602879210923300,4.7024E-07,7.5917917177511E-07,128.74,167.9994234683990,1595.254,181.48927581068200,154.0,32.160312720583300,1.647E-05,4.33920664243065E-06,120.50000000000000,20.083333333333400,https://www.sciencedirect.com/science/article/pii/S0925838819333572
22,0.0,0.0,0.0,0.0,30.0,0.0,10.0,40.0,20.0,0.0,0.0,0.0,1373,75.0,1073,0.166666666666667,302.0,700.0,53.5,8.45040303030303,-0.02916624494628860,0.032281710713484800,-0.0944522144761745,0.0221628374284807,9.86897212407117,0.0028228965421644300,1.35,1.0335036730782300,-0.010640708033581100,-21.663060138444000,0.07603203533950350,0.1865,9.2,1.7200000000000000,3.789,69.64400000000000,0.17623993593093900,5.137,-0.01541652767014180,58.561293000000000,3.5714444075913700,1.365,0.02738612787525820,65.6,5.1602879210923300,4.7024E-07,7.5917917177511E-07,128.74,167.9994234683990,1595.254,181.48927581068200,154.0,32.160312720583300,1.647E-05,4.33920664243065E-06,128.83333333333400,21.472222222222300,https://www.sciencedirect.com/science/article/pii/S0925838819333572
23,0.0,0.0,0.0,0.0,30.0,0.0,10.0,40.0,20.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,235.0,585.0,60.4,8.45040303030303,-0.02916624494628860,0.032281710713484800,-0.0944522144761745,0.0221628374284807,9.86897212407117,0.0028228965421644300,1.35,1.0335036730782300,-0.010640708033581100,-21.663060138444000,0.07603203533950350,0.1865,9.2,1.7200000000000000,3.789,69.64400000000000,0.17623993593093900,5.137,-0.01541652767014180,58.561293000000000,3.5714444075913700,1.365,0.02738612787525820,65.6,5.1602879210923300,4.7024E-07,7.5917917177511E-07,128.74,167.9994234683990,1595.254,181.48927581068200,154.0,32.160312720583300,1.647E-05,4.33920664243065E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S0925838819333572
24,0.0,0.0,0.0,25.0,5.0,10.0,20.0,40.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,482.0,792.0,64.5,8.25713834986869,-0.12965504096492100,-0.05005437036972300,-0.16234045393573300,0.017782031166356200,4.489103876712450,0.002839407460961170,1.1450000000000000,1.0335696635852900,-0.011764497800735400,-37.20580098589470,0.050723082553236200,0.1331,8.45,4.840000000000000,4.253,86.457,0.2030661978614060,8.086550000000000,-0.01947730554434970,56.59442625,3.3908068742770300,1.37,0.028767798089122900,62.95,4.7630039782212800,1.5455E-07,3.47642597881889E-07,88.29,22.569980062020400,1846.85,235.30941479179100,171.0,16.97868846728060,1.145E-05,4.98169061457156E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41524-017-0060-9
25,0.0,0.0,0.0,25.0,5.0,20.0,10.0,40.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,477.0,751.0,55.2,8.162065944025520,-0.1253692405262560,-0.04589600163804300,-0.17629607007803700,0.017782031166356200,4.575178593241900,0.002839407460961170,1.1450000000000000,1.0335696635852900,-0.011764497800735400,-37.20580098589470,0.05027561398312770,0.1348,8.350000000000000,4.760000000000000,4.242000000000000,86.967,0.19927256400583300,8.187550000000000,-0.018783431972516900,56.28560675,3.269408830408970,1.375,0.02936101097573510,62.65,4.788996007371550,1.5855E-07,3.46425585381473E-07,86.29,22.236282869717000,1851.15,233.8048921348890,170.0,16.609095970748000,1.133E-05,4.94801945749248E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41524-017-0060-9
26,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1373,75.0,1073,0.166666666666667,387.0,692.0,64.8,8.027647867162900,-0.15980167436505700,-0.07488576144497480,-0.1970666115006310,0.02249639513229990,5.793658001760470,-0.0042854507014407500,1.5200000000000000,1.0335130802288500,-0.013380866803977100,-26.439813336689600,0.057403979544427400,0.156,8.0,4.160000000000000,4.026,85.24200000000000,0.1863200953378380,7.072000000000000,-0.016503927547796200,56.08114800000000,2.872633813703460,1.38,0.02738612787525820,61.8,3.8340579025361600,3.598E-07,6.04407312993481E-07,74.56,38.019310882760600,1801.2,239.62616718547200,162.0,24.899799195977500,1.296E-05,5.97687209165463E-06,128.83333333333400,21.472222222222300,https://www.nature.com/articles/s41524-017-0060-9
27,0.0,0.0,0.0,25.0,5.0,20.0,10.0,40.0,0.0,0.0,0.0,0.0,1373,75.0,1223,0.166666666666667,466.0,705.0,60.0,8.162065944025520,-0.1253692405262560,-0.04589600163804300,-0.17629607007803700,0.017782031166356200,4.575178593241900,0.002839407460961170,1.1450000000000000,1.0335696635852900,-0.011764497800735400,-37.20580098589470,0.05027561398312770,0.1348,8.350000000000000,4.760000000000000,4.242000000000000,86.967,0.19927256400583300,8.187550000000000,-0.018783431972516900,56.28560675,3.269408830408970,1.375,0.02936101097573510,62.65,4.788996007371550,1.5855E-07,3.46425585381473E-07,86.29,22.236282869717000,1851.15,233.8048921348890,170.0,16.609095970748000,1.133E-05,4.94801945749248E-06,153.83333333333400,25.63888888888900,https://www.nature.com/articles/s41524-017-0060-9
28,0.0,9.09,0.0,18.182,18.182,18.182,18.182,18.182,0.0,0.0,0.0,0.0,1473,79.0,1273,2.0,537.0,874.0,31.6,7.360357462718250,0.07339585181733440,0.1292537610686000,-0.006523249874254730,0.036682672912327500,2.878796564326920,-0.0015675776806045000,2.3635618172000000,1.0762331980510900,-0.014697116487132200,-10.922201630394000,0.06825626759561850,0.1839645669000000,7.5455000000000000,8.7929752016,3.9681876000000000,79.9105332,0.28360001925089400,10.691581460200000,-0.044912611030677200,53.43599350554000,9.58817730711265,1.368183,0.04847534629386750,63.45438,6.786548481141460,3.2954848E-07,5.76671208781743E-07,89.143996,62.0153202109228,1722.3233430000000,354.7107717186640,154.18260000000000,35.84886974086550,1.3881726E-05,6.45892192367031E-06,1946.0,3892.0,https://www.sciencedirect.com/science/article/pii/S0921509319300474
29,1.0,0.0,0.0,12.5,0.0,55.0,17.5,10.0,0.0,4.0,0.0,0.0,1373,79.0,1173,1.0,612.0,1034.0,52.0,8.126646257226250,-0.04399726470218130,0.033697919108340300,-0.13973401241079000,0.045977508551576800,4.908852564414440,0.013210599877513700,1.5666750000000000,1.3932340411629500,-0.010798434505837500,-5.108223972834710,0.04131472457206480,0.09330475000000000,8.005,4.190200000000000,4.42525,89.447,0.4351489359325510,9.506925,-0.038175389251373300,57.354618625,11.567204407144600,1.38125,0.0913414949765871,61.765,5.471981068298830,1.90775E-07,1.23305680720302E-06,89.31,17.468776662373900,1904.59,387.28061475893100,172.53,23.89907570842410,1.09805E-05,3.52982307296451E-06,873.0,873.0,https://www.sciencedirect.com/science/article/pii/S1359646220304759
30,2.0,0.0,0.0,12.5,0.0,55.0,17.5,10.0,0.0,3.0,0.0,0.0,1373,79.0,1173,1.0,617.0,1057.0,52.0,8.054402443456330,0.0028680254781697700,0.08344287745775010,-0.0840903501644081,0.05932305610411870,3.4724988269224700,0.018104257711697200,1.916575,1.3941069608876200,-0.010870188168348400,-3.0888017143081000,0.048150229159744500,0.10297275000000000,7.985,5.9918,4.430750000000000,92.802,0.5708192860011880,12.759025000000000,-0.06227088115174580,56.515325625000000,11.894522343503200,1.37375,0.12421131768691200,62.155,6.813738001190760,2.90225E-07,1.73415824754421E-06,89.32,17.50816447007450,1913.63,436.5138534406950,170.56,28.589422971925200,1.10035E-05,3.47698734135615E-06,873.0,873.0,https://www.sciencedirect.com/science/article/pii/S1359646220304759
31,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1373,60.0,1073,1.0,410.0,763.0,57.0,8.027647867162900,-0.15980167436505700,-0.07488576144497480,-0.1970666115006310,0.02249639513229990,5.793658001760470,-0.0042854507014407500,1.5200000000000000,1.0335130802288500,-0.013380866803977100,-26.439813336689600,0.057403979544427400,0.156,8.0,4.160000000000000,4.026,85.24200000000000,0.1863200953378380,7.072000000000000,-0.016503927547796200,56.08114800000000,2.872633813703460,1.38,0.02738612787525820,61.8,3.8340579025361600,3.598E-07,6.04407312993481E-07,74.56,38.019310882760600,1801.2,239.62616718547200,162.0,24.899799195977500,1.296E-05,5.97687209165463E-06,773.0,773.0,https://www.science.org/doi/full/10.1126/science.1254581
